Data;N1;N2;N3;N4;N5;N6
07/11/1998;7;31;41;44;46;55
14/11/1998;10;13;22;41;42;58
21/11/1998;8;15;19;20;54;59
28/11/1998;6;18;20;40;50;53
05/12/1998;8;32;36;44;45;55
12/12/1998;15;16;31;41;43;51
19/12/1998;25;32;34;42;51;60
24/12/1998;6;16;23;24;28;38
31/12/1998;32;35;41;55;58;59
09/01/1999;7;11;20;28;45;48
16/01/1999;12;44;50;52;54;55
23/01/1999;3;16;20;43;52;56
30/01/1999;5;12;15;29;51;58
06/02/1999;2;30;31;42;45;47
13/02/1999;8;10;24;33;45;48
20/02/1999;12;30;32;35;43;44
27/02/1999;17;23;42;49;52;55
06/03/1999;4;13;17;21;41;44
13/03/1999;4;14;17;43;51;58
20/03/1999;9;11;16;35;50;58
27/03/1999;2;13;42;52;54;58
03/04/1999;6;25;30;37;39;41
10/04/1999;21;23;33;38;48;51
17/04/1999;8;27;36;41;53;56
24/04/1999;4;10;14;19;28;44
01/05/1999;10;19;23;35;39;56
08/05/1999;12;13;22;57;59;60
15/05/1999;1;11;28;33;38;48
22/05/1999;2;9;31;35;45;50
29/05/1999;1;13;21;37;51;52
05/06/1999;7;41;46;51;55;58
12/06/1999;4;27;40;43;46;54
19/06/1999;10;14;26;35;36;49
26/06/1999;17;28;29;42;49;50
03/07/1999;11;22;23;36;52;59
10/07/1999;1;10;13;20;42;50
17/07/1999;1;3;4;28;45;53
24/07/1999;22;35;38;39;41;59
31/07/1999;5;15;19;26;27;33
07/08/1999;5;6;23;26;27;53
14/08/1999;6;23;29;39;51;60
21/08/1999;1;27;33;35;51;55
28/08/1999;3;5;10;28;46;60
04/09/1999;2;7;11;16;40;44
11/09/1999;9;16;21;34;41;60
18/09/1999;17;22;43;46;55;59
25/09/1999;14;23;24;25;26;51
02/10/1999;6;36;41;44;48;58
10/10/1999;17;27;34;42;43;46
16/10/1999;4;15;31;38;41;53
24/10/1999;5;10;21;32;40;42
31/10/1999;1;3;5;23;41;58
06/11/1999;1;26;28;41;54;60
13/11/1999;4;11;12;19;43;49
20/11/1999;25;28;32;33;42;43
27/11/1999;3;9;17;32;37;44
04/12/1999;7;9;14;17;24;32
11/12/1999;5;12;15;19;29;52
18/12/1999;1;8;18;23;35;40
24/12/1999;10;16;37;50;52;57
31/12/1999;12;15;19;34;44;51
08/01/2000;5;20;22;30;35;55
15/01/2000;12;24;44;45;49;53
22/01/2000;11;19;29;44;47;55
29/01/2000;29;31;39;41;51;58
05/02/2000;26;32;40;43;46;54
12/02/2000;18;20;26;34;51;56
19/02/2000;3;7;19;24;53;55
26/02/2000;15;23;24;25;47;57
04/03/2000;13;21;26;32;41;52
11/03/2000;20;32;37;38;48;58
18/03/2000;10;20;33;40;45;50
25/03/2000;6;15;29;45;57;59
01/04/2000;3;9;23;30;32;35
08/04/2000;6;12;30;31;35;50
15/04/2000;7;28;37;46;53;58
22/04/2000;14;18;30;35;42;59
29/04/2000;3;27;32;45;49;51
06/05/2000;12;17;40;42;47;54
13/05/2000;23;26;28;36;42;49
20/05/2000;13;14;36;53;55;60
27/05/2000;13;27;43;50;54;58
03/06/2000;5;19;30;48;52;55
10/06/2000;2;6;22;24;28;58
17/06/2000;7;16;18;20;21;44
24/06/2000;2;4;16;21;37;58
01/07/2000;1;2;38;49;50;59
08/07/2000;11;26;27;37;42;48
15/07/2000;13;16;40;43;45;59
22/07/2000;11;13;21;33;39;45
29/07/2000;8;40;41;44;53;56
05/08/2000;16;27;36;42;44;59
12/08/2000;19;22;29;37;41;59
19/08/2000;3;7;24;32;36;45
26/08/2000;15;25;41;42;45;54
02/09/2000;2;22;29;31;41;55
09/09/2000;10;25;50;52;57;60
16/09/2000;7;31;36;45;56;57
23/09/2000;9;13;15;37;41;42
30/09/2000;6;21;33;44;46;47
07/10/2000;25;28;38;41;57;59
14/10/2000;11;31;35;40;56;57
21/10/2000;4;7;21;22;28;56
28/10/2000;11;16;20;23;32;47
04/11/2000;19;24;33;47;50;60
11/11/2000;8;27;44;51;53;60
18/11/2000;2;16;32;37;43;57
25/11/2000;3;10;23;30;34;46
02/12/2000;16;32;34;35;41;56
09/12/2000;21;36;40;49;54;55
16/12/2000;7;25;41;42;43;55
23/12/2000;15;23;30;34;49;55
30/12/2000;4;17;26;32;51;54
06/01/2001;11;12;24;37;44;56
13/01/2001;1;4;21;22;30;56
20/01/2001;16;19;20;32;44;55
27/01/2001;2;21;26;32;34;52
03/02/2001;1;4;5;19;28;34
10/02/2001;7;12;50;54;55;60
17/02/2001;13;15;20;33;43;58
24/02/2001;4;6;33;43;59;60
03/03/2001;5;16;20;30;54;56
10/03/2001;11;20;48;53;58;60
17/03/2001;8;9;26;43;50;53
24/03/2001;1;5;13;25;31;33
31/03/2001;7;16;34;41;50;53
07/04/2001;2;23;38;46;48;54
14/04/2001;1;8;45;46;55;58
21/04/2001;5;6;10;21;33;47
28/04/2001;17;18;19;25;49;52
05/05/2001;5;9;27;35;40;45
12/05/2001;14;24;26;29;31;54
19/05/2001;9;10;24;36;56;58
26/05/2001;10;17;23;27;47;52
02/06/2001;11;13;18;26;39;47
09/06/2001;16;19;30;37;38;48
16/06/2001;22;39;45;53;57;59
23/06/2001;4;26;38;40;52;56
30/06/2001;10;15;18;22;31;55
07/07/2001;4;23;31;47;58;59
14/07/2001;5;16;20;25;30;58
21/07/2001;5;11;31;38;47;53
28/07/2001;9;14;23;24;33;36
01/08/2001;25;28;34;42;48;54
04/08/2001;7;8;14;30;32;36
08/08/2001;12;32;37;41;50;56
11/08/2001;29;35;37;44;47;56
15/08/2001;3;13;25;33;47;60
18/08/2001;6;9;11;17;18;50
22/08/2001;6;7;20;25;30;36
25/08/2001;7;25;26;30;40;57
29/08/2001;5;16;17;18;22;41
01/09/2001;13;23;24;34;45;53
05/09/2001;5;6;7;12;28;35
08/09/2001;22;25;28;41;45;57
12/09/2001;7;12;24;31;44;50
15/09/2001;3;20;42;46;51;52
19/09/2001;1;20;28;33;36;41
22/09/2001;5;22;23;24;34;60
26/09/2001;2;5;7;33;49;53
29/09/2001;24;27;28;38;41;57
03/10/2001;9;26;48;49;57;58
06/10/2001;12;25;30;40;41;60
10/10/2001;7;13;17;30;37;47
13/10/2001;7;11;34;41;42;59
17/10/2001;5;11;27;38;53;60
20/10/2001;19;30;41;47;56;57
24/10/2001;13;16;17;26;41;44
27/10/2001;4;11;25;29;39;55
31/10/2001;4;11;25;39;50;55
03/11/2001;2;14;28;29;31;32
07/11/2001;22;24;30;32;38;41
10/11/2001;14;23;30;41;47;50
14/11/2001;14;16;24;37;38;53
17/11/2001;5;32;34;37;40;58
21/11/2001;12;21;22;28;43;50
24/11/2001;6;24;28;43;51;56
28/11/2001;16;20;27;30;35;48
01/12/2001;3;19;20;31;40;53
05/12/2001;12;16;17;19;23;48
08/12/2001;20;22;27;47;50;53
12/12/2001;4;11;31;32;48;49
15/12/2001;11;18;29;44;47;56
19/12/2001;26;31;33;40;49;54
22/12/2001;8;15;22;25;30;47
29/12/2001;1;3;4;21;23;53
05/01/2002;21;23;40;44;51;52
09/01/2002;29;32;33;38;46;48
12/01/2002;5;7;14;21;23;51
16/01/2002;10;11;12;24;35;40
19/01/2002;2;4;14;23;37;51
23/01/2002;1;13;20;27;35;37
26/01/2002;23;28;29;34;42;44
30/01/2002;4;27;35;44;52;53
02/02/2002;14;23;24;26;41;51
06/02/2002;7;23;33;43;57;59
09/02/2002;2;18;22;26;30;54
16/02/2002;4;14;16;31;52;54
20/02/2002;1;4;9;36;46;48
23/02/2002;5;12;13;16;27;50
27/02/2002;9;10;12;33;42;60
02/03/2002;5;16;22;23;43;56
06/03/2002;16;29;34;49;51;54
09/03/2002;4;6;7;12;24;41
13/03/2002;10;12;14;33;35;36
16/03/2002;11;22;46;51;56;58
20/03/2002;7;12;41;46;56;60
23/03/2002;1;10;12;26;48;52
27/03/2002;19;30;33;39;40;52
30/03/2002;8;9;28;32;38;54
03/04/2002;10;15;23;30;43;57
06/04/2002;15;16;24;41;59;60
10/04/2002;7;20;25;44;47;49
13/04/2002;19;23;30;46;55;60
17/04/2002;7;16;38;40;41;52
20/04/2002;2;14;22;23;37;60
24/04/2002;5;19;21;54;56;58
27/04/2002;2;30;32;35;45;53
04/05/2002;12;17;21;32;40;42
08/05/2002;13;19;20;29;31;54
11/05/2002;23;24;29;47;53;55
15/05/2002;16;28;31;41;45;59
18/05/2002;7;20;33;37;46;56
22/05/2002;19;29;39;47;49;54
25/05/2002;5;29;44;51;57;59
29/05/2002;19;23;34;37;52;58
01/06/2002;4;6;7;15;21;51
05/06/2002;10;12;27;33;49;52
08/06/2002;13;29;32;38;44;50
12/06/2002;1;14;21;35;42;60
15/06/2002;1;4;40;42;51;54
19/06/2002;4;18;23;33;39;60
22/06/2002;16;17;24;39;46;57
26/06/2002;1;5;10;24;31;33
29/06/2002;2;5;16;26;44;54
03/07/2002;1;5;9;42;51;58
06/07/2002;10;13;25;35;43;48
10/07/2002;3;12;19;27;45;46
13/07/2002;5;38;41;45;48;55
17/07/2002;24;33;40;41;55;59
20/07/2002;13;22;30;31;47;57
24/07/2002;9;10;28;46;55;56
27/07/2002;31;34;37;38;53;54
31/07/2002;14;22;48;50;53;56
03/08/2002;24;28;40;47;50;52
07/08/2002;5;12;16;18;22;24
10/08/2002;17;35;36;39;43;54
14/08/2002;22;28;29;43;47;48
17/08/2002;23;36;48;52;53;58
21/08/2002;5;14;18;43;46;54
24/08/2002;7;12;22;34;38;53
28/08/2002;4;7;15;16;35;40
31/08/2002;15;23;31;39;47;49
04/09/2002;6;12;35;36;40;50
07/09/2002;5;15;35;42;45;49
11/09/2002;10;11;14;20;31;58
14/09/2002;6;18;34;42;45;47
18/09/2002;1;2;5;24;32;46
21/09/2002;7;16;22;28;36;37
25/09/2002;11;16;27;47;55;59
28/09/2002;10;13;28;29;54;59
02/10/2002;11;18;43;44;50;53
05/10/2002;5;16;27;43;56;58
09/10/2002;7;16;27;31;46;60
12/10/2002;1;24;28;38;40;58
16/10/2002;24;29;34;47;57;60
19/10/2002;2;12;32;38;47;48
23/10/2002;2;18;22;49;51;57
26/10/2002;14;28;33;44;49;56
30/10/2002;18;25;26;31;34;49
02/11/2002;8;24;31;36;38;55
06/11/2002;10;12;31;38;45;56
09/11/2002;5;12;14;21;45;59
13/11/2002;2;4;29;33;35;53
16/11/2002;16;26;35;45;52;58
20/11/2002;1;4;27;38;42;44
23/11/2002;1;13;23;33;54;56
27/11/2002;7;12;21;25;34;42
30/11/2002;8;15;32;45;49;52
04/12/2002;9;16;41;42;52;53
07/12/2002;12;29;30;43;57;59
11/12/2002;5;35;37;38;45;51
14/12/2002;12;37;43;55;56;60
18/12/2002;8;22;32;33;40;53
21/12/2002;18;27;29;36;46;59
28/12/2002;6;10;16;34;42;47
04/01/2003;7;30;32;37;50;54
08/01/2003;3;13;14;24;43;51
11/01/2003;8;28;30;32;46;60
15/01/2003;17;26;32;36;43;55
18/01/2003;8;10;21;25;38;50
22/01/2003;26;37;40;47;52;58
25/01/2003;4;13;17;27;39;50
29/01/2003;16;17;28;30;36;54
01/02/2003;4;10;17;24;30;54
05/02/2003;10;11;17;31;37;43
08/02/2003;1;6;7;29;48;57
12/02/2003;7;10;30;44;54;59
15/02/2003;3;5;11;14;38;48
19/02/2003;13;20;29;42;43;57
22/02/2003;3;5;23;30;46;47
26/02/2003;2;10;15;21;58;59
01/03/2003;6;15;23;31;37;59
08/03/2003;11;17;26;36;48;52
12/03/2003;3;24;33;48;52;57
15/03/2003;7;20;31;32;50;53
19/03/2003;8;11;12;17;20;47
22/03/2003;15;24;25;33;42;55
26/03/2003;3;5;9;45;51;52
29/03/2003;1;8;24;34;49;56
02/04/2003;1;9;13;50;51;59
05/04/2003;17;18;23;28;31;53
09/04/2003;11;16;30;36;51;54
12/04/2003;8;20;23;34;52;58
16/04/2003;4;17;24;42;46;56
19/04/2003;2;14;15;17;50;59
23/04/2003;3;17;22;27;33;40
26/04/2003;15;17;24;27;32;48
30/04/2003;13;24;32;34;43;53
03/05/2003;8;15;17;39;43;49
07/05/2003;19;23;30;37;49;55
10/05/2003;15;17;20;29;30;60
14/05/2003;17;19;22;26;27;48
17/05/2003;2;3;7;18;45;53
21/05/2003;6;24;33;38;45;50
24/05/2003;1;22;31;46;51;57
28/05/2003;11;16;28;29;30;45
31/05/2003;8;18;21;22;38;60
04/06/2003;5;6;23;25;39;51
07/06/2003;13;21;26;29;42;47
11/06/2003;8;11;23;37;51;58
14/06/2003;5;31;32;36;51;59
18/06/2003;3;4;12;29;38;51
21/06/2003;7;23;41;49;51;58
25/06/2003;3;12;32;34;40;50
28/06/2003;6;8;19;22;43;52
02/07/2003;17;20;38;43;55;58
05/07/2003;6;8;18;34;38;47
09/07/2003;3;8;21;25;30;31
12/07/2003;20;26;41;46;54;58
16/07/2003;14;33;36;38;41;49
19/07/2003;6;13;22;24;42;44
23/07/2003;12;13;33;53;54;56
26/07/2003;16;18;23;35;44;59
30/07/2003;17;18;19;38;49;53
02/08/2003;19;28;30;38;52;57
06/08/2003;8;14;19;30;42;50
09/08/2003;8;22;25;48;52;54
13/08/2003;15;30;35;39;43;57
16/08/2003;17;28;33;36;53;59
20/08/2003;5;11;23;29;54;58
23/08/2003;1;9;15;22;43;55
27/08/2003;2;6;15;18;56;57
30/08/2003;3;18;20;24;42;54
03/09/2003;18;20;28;32;49;53
06/09/2003;8;15;29;36;49;60
10/09/2003;10;19;20;29;41;59
13/09/2003;9;13;20;32;41;58
17/09/2003;2;6;28;49;50;57
20/09/2003;1;4;5;11;44;59
27/09/2003;21;29;35;36;38;54
01/10/2003;16;27;28;34;39;56
04/10/2003;7;13;21;24;33;50
08/10/2003;7;10;21;27;48;49
11/10/2003;8;11;19;30;39;50
15/10/2003;3;20;28;46;47;52
18/10/2003;4;15;31;34;37;38
22/10/2003;3;5;27;33;44;58
25/10/2003;5;10;15;45;46;56
29/10/2003;28;32;33;34;35;55
01/11/2003;1;4;30;41;45;58
05/11/2003;3;4;8;34;36;37
08/11/2003;4;8;31;40;53;58
12/11/2003;10;19;27;33;39;46
15/11/2003;15;36;40;42;51;52
19/11/2003;15;16;39;45;48;57
22/11/2003;5;13;24;33;34;35
26/11/2003;7;8;28;32;38;51
29/11/2003;5;8;10;15;18;44
03/12/2003;9;15;19;22;36;42
06/12/2003;9;12;17;32;34;35
10/12/2003;15;25;28;32;38;45
13/12/2003;6;14;15;25;49;52
17/12/2003;28;39;40;44;45;58
20/12/2003;19;29;34;41;47;48
27/12/2003;8;10;24;26;32;49
03/01/2004;3;21;31;36;55;59
07/01/2004;6;14;17;26;50;52
10/01/2004;8;12;28;31;34;37
14/01/2004;1;13;33;38;45;56
17/01/2004;1;6;21;25;32;49
21/01/2004;1;3;7;18;35;50
24/01/2004;4;9;12;13;52;53
28/01/2004;13;18;21;27;53;59
31/01/2004;3;8;23;31;48;57
04/02/2004;6;14;28;47;49;56
07/02/2004;14;15;22;23;25;37
11/02/2004;3;7;19;34;37;39
14/02/2004;3;25;43;45;52;56
18/02/2004;6;16;19;47;50;55
21/02/2004;4;22;28;30;44;49
28/02/2004;13;27;49;52;57;58
03/03/2004;4;6;19;28;35;49
06/03/2004;35;37;42;46;49;54
10/03/2004;11;17;33;34;47;56
13/03/2004;17;29;35;40;43;57
17/03/2004;4;5;13;17;46;54
20/03/2004;4;13;28;30;53;59
24/03/2004;14;47;49;51;58;59
27/03/2004;8;13;22;46;51;58
31/03/2004;16;17;38;39;45;56
03/04/2004;12;21;46;48;56;57
07/04/2004;9;22;47;49;52;54
10/04/2004;4;43;46;53;54;58
14/04/2004;15;29;31;42;47;60
17/04/2004;5;23;31;33;45;49
21/04/2004;8;10;17;30;33;45
24/04/2004;8;12;18;23;38;49
28/04/2004;7;14;31;57;58;59
01/05/2004;6;13;17;25;36;53
05/05/2004;2;11;18;30;32;58
08/05/2004;1;20;36;39;49;55
12/05/2004;16;23;35;37;55;57
15/05/2004;5;8;23;34;44;51
19/05/2004;10;13;20;32;38;49
22/05/2004;7;31;34;35;37;45
26/05/2004;6;13;17;18;20;37
29/05/2004;11;31;38;41;57;58
02/06/2004;13;17;22;25;29;41
05/06/2004;3;9;14;15;32;57
09/06/2004;15;32;33;35;36;51
12/06/2004;12;13;14;31;50;51
16/06/2004;3;9;16;20;33;60
19/06/2004;6;17;22;29;40;59
23/06/2004;2;10;17;23;32;44
26/06/2004;5;18;21;29;35;48
30/06/2004;7;8;18;39;43;52
03/07/2004;8;23;24;28;31;47
07/07/2004;3;18;23;48;56;58
10/07/2004;4;9;15;17;34;39
14/07/2004;15;16;18;28;38;47
17/07/2004;14;17;25;30;39;52
21/07/2004;13;29;40;45;51;59
24/07/2004;6;7;20;41;43;55
28/07/2004;7;8;23;30;32;53
31/07/2004;12;24;33;36;39;57
04/08/2004;11;13;38;39;45;54
07/08/2004;2;18;29;30;36;60
11/08/2004;11;13;45;46;53;55
14/08/2004;6;7;8;13;33;59
18/08/2004;4;5;18;25;28;51
21/08/2004;1;3;18;34;50;58
25/08/2004;13;14;42;47;55;59
28/08/2004;1;25;27;29;49;59
01/09/2004;10;13;29;47;53;55
04/09/2004;1;2;25;43;50;54
08/09/2004;11;14;28;43;54;60
11/09/2004;22;27;29;40;42;56
15/09/2004;5;16;34;38;50;53
18/09/2004;4;6;9;23;45;51
22/09/2004;16;18;31;34;39;54
25/09/2004;10;19;22;29;30;37
29/09/2004;7;13;38;46;55;60
02/10/2004;4;8;11;12;29;44
06/10/2004;15;25;41;46;49;51
09/10/2004;4;24;44;49;52;53
13/10/2004;6;23;32;35;41;55
16/10/2004;6;11;19;27;41;59
20/10/2004;6;13;19;24;30;37
23/10/2004;2;6;15;58;59;60
27/10/2004;25;30;43;45;47;49
30/10/2004;16;21;22;33;48;49
03/11/2004;15;18;33;50;53;55
06/11/2004;6;13;19;44;54;55
10/11/2004;12;16;31;48;57;60
13/11/2004;5;8;10;27;31;51
17/11/2004;2;12;16;24;26;54
20/11/2004;3;5;25;33;36;49
24/11/2004;3;8;10;13;24;60
27/11/2004;8;12;14;16;19;46
01/12/2004;1;3;13;22;29;32
04/12/2004;26;29;31;49;50;57
08/12/2004;19;27;29;38;50;59
11/12/2004;9;23;30;42;49;55
15/12/2004;8;23;34;39;43;52
18/12/2004;12;24;32;40;42;59
22/12/2004;7;8;18;22;39;49
29/12/2004;1;13;19;45;56;58
05/01/2005;8;16;22;30;56;58
08/01/2005;15;16;39;40;47;51
12/01/2005;12;16;20;45;53;60
15/01/2005;1;20;28;32;44;47
19/01/2005;2;19;28;48;51;54
22/01/2005;5;11;22;27;46;50
26/01/2005;10;13;24;41;42;56
29/01/2005;8;20;26;37;42;49
02/02/2005;26;28;30;32;34;50
05/02/2005;11;18;43;48;52;58
12/02/2005;10;11;36;41;42;50
16/02/2005;13;35;39;45;51;60
19/02/2005;12;19;42;46;59;60
23/02/2005;1;9;13;17;33;34
26/02/2005;17;36;40;44;51;56
02/03/2005;14;24;37;40;42;45
05/03/2005;14;27;29;31;34;57
09/03/2005;3;24;48;52;53;54
12/03/2005;10;13;32;47;49;60
16/03/2005;11;12;14;19;54;56
19/03/2005;5;23;29;42;45;48
23/03/2005;9;24;33;41;48;54
26/03/2005;10;24;25;29;53;59
30/03/2005;26;28;39;45;48;60
02/04/2005;10;18;20;24;56;57
06/04/2005;5;9;19;24;31;34
09/04/2005;6;10;11;40;41;56
13/04/2005;1;26;37;39;43;48
16/04/2005;35;36;37;46;51;59
20/04/2005;16;20;33;58;59;60
23/04/2005;3;6;11;20;36;41
27/04/2005;14;29;34;40;51;52
30/04/2005;5;11;38;46;53;54
04/05/2005;4;27;36;40;42;55
07/05/2005;4;18;23;25;56;60
11/05/2005;1;27;30;49;51;55
14/05/2005;1;12;36;38;55;59
18/05/2005;7;8;18;25;47;48
21/05/2005;7;16;26;29;45;55
25/05/2005;1;4;5;16;23;49
28/05/2005;1;2;14;33;49;56
01/06/2005;7;24;27;40;41;49
04/06/2005;22;37;42;48;58;59
08/06/2005;9;16;27;38;39;51
11/06/2005;24;28;34;38;43;53
15/06/2005;6;11;20;34;37;40
18/06/2005;18;22;29;32;38;42
22/06/2005;24;25;30;42;43;50
25/06/2005;9;15;32;41;42;49
29/06/2005;8;10;25;32;48;55
02/07/2005;14;31;40;42;44;46
06/07/2005;3;21;25;37;54;58
09/07/2005;2;3;5;22;26;44
13/07/2005;21;25;38;53;58;59
16/07/2005;4;27;36;37;47;60
20/07/2005;2;11;12;35;40;43
23/07/2005;17;19;33;37;40;50
27/07/2005;5;12;27;33;43;56
30/07/2005;4;5;15;26;33;54
03/08/2005;1;7;14;41;48;59
06/08/2005;11;21;30;35;47;52
10/08/2005;6;7;31;49;51;60
13/08/2005;8;12;15;41;47;53
17/08/2005;8;16;37;50;55;58
20/08/2005;11;18;33;57;58;60
24/08/2005;13;14;17;31;41;50
27/08/2005;15;19;29;37;41;53
31/08/2005;6;11;13;21;40;52
03/09/2005;9;16;34;37;53;57
10/09/2005;28;31;32;35;51;53
14/09/2005;8;12;22;27;43;55
19/09/2005;17;23;48;50;53;54
21/09/2005;2;3;14;24;31;40
24/09/2005;1;13;23;31;48;60
28/09/2005;1;18;45;56;57;58
01/10/2005;2;11;24;27;30;45
05/10/2005;2;4;18;27;34;50
08/10/2005;3;11;13;15;26;43
15/10/2005;2;7;10;17;22;60
19/10/2005;1;8;10;36;43;51
22/10/2005;7;9;13;39;45;47
26/10/2005;4;6;9;22;29;44
29/10/2005;5;25;34;39;46;49
05/11/2005;5;10;33;40;41;59
09/11/2005;7;8;35;43;53;58
12/11/2005;1;12;16;26;46;54
16/11/2005;7;8;17;35;39;53
19/11/2005;4;12;24;33;36;54
23/11/2005;2;7;16;29;32;50
26/11/2005;6;17;23;28;35;41
30/11/2005;7;21;33;35;39;58
03/12/2005;3;32;37;39;47;53
07/12/2005;12;31;44;51;54;56
10/12/2005;3;14;23;25;36;55
14/12/2005;9;18;36;44;57;60
17/12/2005;1;6;16;36;50;52
21/12/2005;17;27;34;48;51;55
31/12/2005;3;9;35;37;41;49
04/01/2006;1;5;7;37;40;47
07/01/2006;4;12;14;30;42;59
11/01/2006;8;13;24;32;42;44
14/01/2006;5;18;33;43;56;57
18/01/2006;2;15;16;45;50;54
21/01/2006;6;15;16;23;28;35
25/01/2006;6;17;19;49;50;53
28/01/2006;2;12;26;31;43;46
